"mapid","area_name","area_km2"
"AR","arbutus-ridge",3.70357010958912
"CBD","downtown",4.67796013092756
"FAIR","fairview",3.63826240759042
"GW","grandview-woodland",4.75793759739766
"HS","hastings-sunrise",8.33893903161499
"MARP","marpole",6.00786653758331
"RP","riley park",4.9356171245466
"SHAU","shaughnessy",4.48386057449236
"STR","strathcona",4.37329411967716
"WE","west end",2.25802846621442
"DS","dunbar-southlands",9.08707376039221
"KERR","kerrisdale",6.61417577463189
"KIL","killarney",6.93953778826133
"KITS","kitsilano",6.36792617838794
"SC","south cambie",2.17809166786834
"VF","victoria-fraserview",5.50493078982377
"KC","kensington-cedar cottage",7.25829957602698
"MP","mount pleasant",3.72352232190822
"OAK","oakridge",4.02681608047557
"RC","renfrew-collingwood",8.1068592452075
"SUN","sunset",6.58098745195207
"WPG","west point grey",5.30443343365963
